jurisdiction,address,zip5,apn_fmt,con_sites,ex_gp_des,ex_zoning,min_dens,max_dens,acres,ex_use_vac,infra,public,site_stat,id_last2,li,mod,amod,capacity,opt1,opt2,abag_general_plan,abag_zoning,abag_allowable_density,abag_rhna_cycle,abag_rhna_years,sf_used_in_previous_he,abag_used_in_previous_he
San Francisco,1010 DIVISADERO ST,94115.0,1154-013A,,NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,NCT-DIVISADERO,0.0,163.3493471420966,0.02066136511872006,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0920680905,0.0920680905,0.184136181,,0.054558537,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,9 SEYMOUR ST,94115.0,1154-022,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,0.0,38.67358999953116,0.0517148660352619,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0021093855,0.0021093855,0.004218771,,0.002109386,RH-3,,,RHNA4,2007-2014,0,1
San Francisco,1751 FULTON ST,94117.0,1186-009I,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,54.44978222502405,0.1028190061424107,Commercial Stores,Yes,,Pending Project,Not Used in Prior Housing Element,0.0,0.0,6.333333336000001,6.333333336000001,Pipeline,,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,521 BRODERICK ST,94117.0,1200-003,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,42.53603854249783,0.08393657362240087,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0019986775,0.0019986775,0.003997355,,0.001119604,C-2,,,RHNA4,2007-2014,0,1
San Francisco,503-505 BRODERICK ST,94117.0,1200-005,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,23.47403393520628,0.06456662149284305,Flats & Duplex,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0008680315,0.0008680315,0.001736063,,0.001145433,C-2,,,RHNA4,2007-2014,0,1
San Francisco,501 BRODERICK ST,94117.0,1200-006,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,54.4497780209191,0.06808926961295023,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.00639169,0.00639169,0.01278338,,0.003448029,C-2,,,RHNA4,2007-2014,0,1
San Francisco,301 BRODERICK ST,94117.0,1214-009,,"RESIDENTIAL- MIXED, MODERATE DENSITY",RM-2,0.0,57.49896932652121,0.03115557838733454,,Yes,Yes,Available,Not Used in Prior Housing Element,0.0,0.022009257,0.022009257,0.044018514,,0.024571943,RM-2,,,RHNA4,2007-2014,0,1
San Francisco,1204 OAK ST,94117.0,1214-009A,,"RESIDENTIAL- MIXED, MODERATE DENSITY",RM-2,0.0,57.49897025460286,0.0227934695180966,,Yes,Yes,Available,Not Used in Prior Housing Element,0.0,0.016096771,0.016096771,0.032193542,,0.024563953,RM-2,,,RHNA4,2007-2014,0,1
San Francisco,318 DIVISADERO ST,94117.0,1217-022,,NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,NCT-DIVISADERO,0.0,98.00960782206263,0.06079253673233549,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.1648730235,0.1648730235,0.329746047,,0.055342743,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,1878 HAIGHT ST,94117.0,1228-005,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-HAIGHT,0.0,90.02363666771846,0.478602922072741,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.533055301,0.0,0.0,0.533055301,,0.012372013,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,690 STANYAN ST,94117.0,1228-006,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-HAIGHT,0.0,90.02364308724258,0.3173430862015025,Parking Lot,Yes,,Available,Not Used in Prior Housing Element,0.359237503,0.0,0.0,0.359237503,,0.012574654,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,275 DIVISADERO ST,94117.0,1237-004,,NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,NCT-DIVISADERO,0.0,121.5319147616883,0.1678728223495325,"Churches,Convents,Rectories",Yes,,Available,Not Used in Prior Housing Element,0.829302532,0.0,0.0,0.829302532,,0.040648288,NC-2,,,RHNA4,2007-2014,0,1
San Francisco,1463-1467 HAIGHT ST,94117.0,1244-025,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-HAIGHT,0.0,72.59970709485602,0.11527220900854,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0599979595,0.0599979595,0.119995919,,0.014338608,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,1573 HAIGHT ST,94117.0,1245-025,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-HAIGHT,0.0,72.59971060931201,0.0643804732006226,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0322475315,0.0322475315,0.064495063,,0.013798676,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,636 SHRADER ST,94117.0,1248-016,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-HAIGHT,0.0,90.02363932645405,0.1545288877077554,Office,Yes,,Available,Not Used in Prior Housing Element,0.0,0.19331134,0.19331134,0.38662268,,0.027792082,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,39 LLOYD ST,94117.0,1260-035,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,0.0,34.84776306298961,0.0573924930671983,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.001892007,0.001892007,0.003784014,,0.001892007,RH-3,,,RHNA4,2007-2014,0,1
San Francisco,930 COLE ST,94117.0,1271-024B,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-COLE VALLEY,0.0,67.5177278950377,0.2226507123187519,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.1196271765,0.1196271765,0.239254353,,0.015915414,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,1018 SHRADER ST,94117.0,1272-017,,"RESIDENTIAL- HOUSE, THREE FAMILY",RH-3,0.0,33.13741780348658,0.06035473288415275,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.001105749,0.001105749,0.002211498,,0.001105749,RH-3,,,RHNA4,2007-2014,0,1
San Francisco,1276 STANYAN ST,94117.0,1289-042,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,0.0,12.34373384482659,0.08101276425521055,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.000866143,0.000866143,0.001732286,,0.001732286,RH-2,,,RHNA4,2007-2014,0,1
San Francisco,1 25TH AVE,94121.0,1301-010,,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",RH-1(D),0.0,7.887430786550384,0.3803521090818875,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.001604447,0.001604447,0.003208894,,0.001069631,C-2,,,RHNA4,2007-2014,0,1
San Francisco,107 24TH AVE,94121.0,1334-040,,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",RH-1(D),0.0,31.19854657033052,0.096158354442417,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0016681535,0.0016681535,0.003336307,,0.001112102,RH-1(D),,,RHNA4,2007-2014,0,1
San Francisco,4200 CALIFORNIA ST,94118.0,1364-045,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,54.44978274299316,0.09462088142693327,Office,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0585441345,0.0585441345,0.117088269,,0.022726379,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,195 05TH AVE,94118.0,1365-012,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,54.44978244297076,0.02174789787425367,Office,Yes,,Available,Not Used in Prior Housing Element,0.0,0.013615373,0.013615373,0.027230746,,0.022995672,NC-1,,,RHNA4,2007-2014,0,1
